Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6
"N,N,N',N'-tetrakis(carboxylatemethyl)propane-1-amine-3-ammonium",,,,,
"N,N,N',N'-tetrakis(carboxylatemethyl)propane-1-amine-3-ammonium",,,,,
"N,N,N',N'-tetrakis(carboxylatemethyl)propane-1-amine-3-ammonium",,,,,
oxalate,hydrogen,,,,
"N,N,N',N'-tetrakis(carboxylatemethyl)propane-1-amine-3-ammonium",,,,,
"1,1',1''-(1,3,5-triazine-2,4,6-triyl)tris(piperidine-4-carboxylate)",,,,,
"4-(1H-imidazo[4,5-f][1,10]phenanthrolin-2-yl)benzoate",,,,,
"4-(1H-imidazo[4,5-f][1,10]phenanthrolin-2-yl)benzoate",,,,,
"4-hydroxy-5-oxidobenzene-1,3-disulfonate",,,,,
hydroxo,"1H-pyrazole-3,5-dicarboxylate",,,,
"benzene-1,3-dicarboxylate)-bis(ethane-1,2-dio",,,,,
"1,3,6,8-tetra(1H-pyrazol-4-yl)-9H-carbazol",,,,,
iodo,isonicoate)-diaqua-penta-(,,,,
2-(pyrazin-2-yl)quinoline-4-carboxylate)-diaqua-di-(,,,,,
"4,4'-(Pyridine-3,5-diylbis(carbonylimino))dibenzoate",,,,,
"u1-3,3',3'',3''',3'''',3'''''-(Benzene-1,2,3,4,5,6-hexaylhexakis",,,,,
"3,3',3'',3''',3'''',3'''''-(benzene-1,2,3,4,5,6-hexaylhexakis",,,,,
"1,2-bis-(1,2,4-triazol-1-yl)ethane",,,,,
u1-Phosphate,"4,4'-bipyridine","oxo)-bis(2,2'-bipyridine)-octaoxo-tetra-",,,
"4,4'-Oxydibenzene-1,2-carboxylate","4,4'-bipyridine",,,,
"Oxybis(benzene-3,3',4,4'-tetracarboxylate)","4,4'-bipyridine",,,,
,,,,,
"4,4'-bipyridine)bis[m2-(carboxylatemethylsulfanyl)nicoate]-di-(ii)]",,,,,
"4,4'-Bipyridine",hexafluoro-,,,,
"1,2-bis(1-(4-Pyridyl)ethylideneamino)ethane",,,,,
,,,,,
5-((2-methyl-1H-imidazol-1-yl)methyl)isophthalate,,,,,
"2,3-dihydroxybutanedioate","2,3-dioxybutanedioate","4,4'-(ethane-1,2-diyl)dipyridine",aqua,,
2-Hydroxyphosphonoacetate)-(i,,,,,
2-Hydroxy(phosphono)acetate)-(i,,,,,
Fumarate,oxalate,,,,
fumarate,oxalate,,,,
"Squarate-O,O',O''",aqua,,,,
"1,1'-(butane-1,4-diyl)di(1H-imidazole)",2-(4-carboxylatebenzoyl)benzoate,,,,
"4,4'-Bipyridine-N,N'","4,4'-ethyne-1,2-diyldibenzoate-O,O'",,,,
"4,4'-Ethyne-1,2-diylbis(3-methylbenzoate)-O,O',O'',O''","4,4'-bipyridine-N,N'",,,,
"benzene-1,2,4,5-tetracarboxylate","2,5-dicarboxyterephthalate",,,,
"benzene-1,2,4,5-tetracarboxylate","2,5-dicarboxyterephthalate",,,,
"1,2,4,5-Benzenetetracarboxylate",,,,,
