,0
130,"catena-(bis(mu-cyclohexane-1,4-dicarboxylato)-(mu-1,1'-(1,4-phenylene)bis(1H-imidazole))-di-zinc)"
131,catena-[hexakis(mu-pyridine-4-carboxylato)-hexakis(mu-iodo)-(pyridine-4-carboxylato)-hepta-copper-di-praseodymium(iii) monohydrate]
132,catena-[bis(mu-(tetrazoldiyl)acetato)-bis(mu-hydroxo)-diaqua-tri-zinc(ii)]
133,catena-[heptakis(mu-isonicotinato)-tetrakis(mu-iodo)-diaqua-penta-copper(i)-di-praseodymium(iii) toluene solvate]
134,catena(bis(Adiponitrile)-copper(i) nitrate)
135,"catena-[(mu-4-(4,5-dicarboxylato-1H-imidazol-2-yl)pyridine 1-oxide)-(mu-formato)-aqua-lanthanum(iii) monohydrate]"
136,"catena-[bis(mu-4-(4,5-dicarboxylato-1H-imidazol-2-yl)pyridine 1-oxide)-(mu-oxalato)-diaqua-yttrium(iii) monohydrate]"
137,"catena-(bis(mu-[4-(1H-imidazo[4,5-f][1,10]phenanthrolin-2-yl)-N,N-dimethylanilinato])-tri-copper nitrate nonahydrate)"
138,catena-(bis(mu!3$-2-(pyridin-4-yl)malonaldehydato)-copper(ii) acetonitrile solvate)
139,catena-(bis(mu!3$-2-(pyridin-4-yl)malonaldehydato)-cobalt(ii) methanol solvate)
140,"catena-(icosakis(mu!3$-oxo)-tetrakis(mu!2$-4,4'-bipyridine)-hexakis(mu!2$-oxo)-dodecaoxo-di-manganese-hepta-vanadium(iv)-nona-vanadium(v) chloride 4,4'-bipyridine hydrate)"
141,"catena-(icosakis(mu!3$-oxo)-tetrakis(mu!2$-4,4'-bipyridine)-hexakis(mu!2$-oxo)-dodecaoxo-di-nickel-hepta-vanadium(iv)-nona-vanadium(v) fluoride)"
142,"catena-(icosakis(mu!3$-oxo)-tetrakis(mu!2$-4,4'-bipyridine)-hexakis(mu!2$-oxo)-dodecaoxo-di-nickel-hepta-vanadium(iv)-nona-vanadium(v) bromide 4,4'-bipyridine hydrate)"
