code,raw linkers,Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6,Linker 7,Linker 8,metals,solvents
BEMKOW,"catena-[(mu-4''-carboxy-1,1':4',1''-terphenyl-2,2'',4-tricarboxylato)-(N,N-diethylformamide)-aqua-gadolinium(iii)]","4''-carboxy-1,1':4',1''-terphenyl-2,2'',4-tricarboxylate)-(N,N-diethylformamid",,,,,,,,potassium,[]
BEMNUE,"catena-((mu!2$-phthalato)-(mu!2$-1,4-bis((pyridin-3-yl)carbonyl)piperazine)-aqua-copper(ii) dihydrate)",phthalate,"1,4-bis((pyridin-3-yl)carbonyl)piperazine",,,,,,,nickel,['dihydrate)']
BEMPIT,catena-(bis(mu!8$-Oxalato)-bis(mu!7$-oxalato)-di-iron(ii)-tetra-potassium),Oxalate,oxalate)-di-(i,,,,,,,antimony,[]
BENBIH,catena-((mu!3$-5-(4-carboxylatophenyl)pyridine-2-carboxylato)-bis(mu!3$-hydroxo)-di-cadmium),5-(4-carboxylatephenyl)pyridine-2-carboxylate,hydroxo,,,,,,,cadmium,[]
BENBOM,"catena-((mu!4$-1,2-bis(Pyrid-4-yl)ethane N,N'-dioxide-O,O,O',O')-bis(mu!2$-1,2-bis(pyrid-4-yl)ethane N,N'-dioxide-O,O')-hexakis(nitrato-O,O')-di-cerium(iii) dichloromethane solvate hemihydrate)","1,2-bis(Pyrid-4-yl)ethaneN,N'-dioxide-O,O,O',O'","1,2-bis(pyrid-4-yl)ethane",,,,,,,manganese,"[""N,N'-dioxide-O,O')-hexakis(nitrato-O,O')-di-cerium(iii)"", 'dichloromethane', 'solvate', 'hemihydrate)']"
BENPOA,catena-(bis(mu!5$-dihydrogen tricyanomelaminato)-(mu!2$-aqua)-di-rubidinium),dihydrogentricyanomelaminate,aqua,,,,,,,uranium,[]
BENQUH,catena-((mu!8$-3-phosphonopropionato)-aqua-sodium-zinc),3-phosphonopropionate,,,,,,,,iron,[]
BENXOJ,catena-[bis(mu!4$-5-Carboxylato-2-(1-hydroxyethyl)-1H-benzimidazolyl)-bis(mu!2$-hydroxo)-tri-zinc(ii)],5-Carboxylate-2-(1-hydroxyethyl)-1H-benzimidazoly,hydroxo,,,,,,,copper,[]
BENZOL,"catena-(bis(mu!3$-7,7,8,8-tetracyanoquinodimethanide)-(mu!2$-7,7,8,8-tetracyanoquinodimethanide)-bis(mu!2$-aqua)-tetraaqua-di-strontium 7,7,8,8-tetracyanoquinodimethanide)","7,7,8,8-tetracyanoquinodimethanide","7,7,8,8-tetracyanoquinodimethanide",aqua,,,,,,copper,"['7,7,8,8-tetracyanoquinodimethanide)']"
BEPDIM,"catena-[di-lithium tetrakis(mu-benzene-1,3,5-tricarboxylato)-(5-methyl-1,2,3,4-tetrazolyl)-tetra-aqua-penta-lithium-tri-zinc unknown solvate]","benzene-1,3,5-tricarboxylate)-(5-methyl-1,2,3,4-tetrazoly",,,,,,,,molybdenum,"['unknown', 'solvate]']"
