code,raw linkers,Linker 1,Linker 2,Linker 3,Linker 4,Linker 5,Linker 6,Linker 7,Linker 8,metals,solvents
REMQIJ,"catena-(bis((mu!3$-Acetato-O,O,O')-(mu!2$-nitrato-O,O',O''))-triaqua-di-strontium)","Acetate-O,O,O'","nitrate-O,O',O'')",,,,,,,copper,[]
REMREI,catena-(Potassium (mu!4$-nitrilotriacetato)-bis(mu!2$-oxalato)-diaqua-di-praseodymium trihydrate),nitrilotriacetate,oxalate,,,,,,,cobalt,['trihydrate)']
REMVUC,"catena-(bis(mu!3$-3,5-Diamino-1,2,4-triazolate)-(mu!2$-5-nitroisophthalato)-di-zinc)","3,5-Diamino-1,2,4-triazolate",5-nitroisophthalate,,,,,,,copper,[]
REMYUG,catena-(dimethylammonium hexakis(mu-formato)-chromium(iii)-iron(ii)),formate)-(ii,,,,,,,,nickel,[]
REPKII,"catena-[bis(mu!4$-4'-carboxybiphenyl-3,3',4-tricarboxylato)-bis(mu!3$-1,1',1''-benzene-1,3,5-triyltris(1H-imidazole))-(mu!2$-4,4'-dicarboxybiphenyl-3,3'-dicarboxylato)-tetra-zinc tetrahydrate]","4'-carboxybiphenyl-3,3',4-tricarboxylate","1,1',1''-benzene-1,3,5-triyltris(1H-imidazole)","4,4'-dicarboxybiphenyl-3,3'-dicarboxylate",,,,,,zinc,['tetrahydrate]']
REQBUN,catena-[(mu-[nitrilotris(methylene)]tris(hydrogen phosphonato))-gallium(iii)],[nitrilotris,,,,,,,,cadmium,['phosphonato))-gallium(iii)]']
REQDEX,"catena-(heptakis(mu!4$-1,4-Benzenedicarboxylato)-tetrakis(mu!3$-hydroxo)-tetraaqua-hexa-yttrium(iii) dihydrate)","1,4-Benzenedicarboxylate",hydroxo,,,,,,,cobalt,['dihydrate)']
REQKEF,catena-[octakis(mu!5$-Succinato)-tetrakis(mu!4$-succinato)-tetrakis(mu!3$-hydroxo)-tetra-aqua-tetradeca-nickel(ii) hexahydrate],Succinate,succinate,hydroxo,,,,,,cobalt,['hexahydrate]']
RESMEJ,"catena-(Di-potassium pentakis(mu!6$-1,2,4,5-benzene-tetra-carboxylato)-tris(mu!4$-1,2,4,5-benzene-tetra-carboxylato)-docosa-aqua-deca-gadolinium hexacosahydrate)","1,2,4,5-benzene-tetra-carboxylate","1,2,4,5-benzene-tetra-carboxylate",,,,,,,tin,['hexacosahydrate)']
RESWOC,"catena-(tris(mu!4$-2,3,5,6-Tetrafluoro-1,4-benzenedicarboxylato)-aqua-(dimethylformamide)-di-erbium dimethylformamide solvate)","2,3,5,6-Tetrafluoro-1,4-benzenedicarboxylate)-aqua-(dimethylformamid",,,,,,,,samarium,"['dimethylformamide', 'solvate)']"
RETDOM,"catena-[dimethylammonium (mu-2,2'-{[6-(3-carboxylatoanilino)-1,3,5-triazine-2,4-diyl]diazanediyl}di(benzene-1,4-dicarboxylato))-aqua-di-zin(ii) N,N-dimethylacetamide solvate]","2,2'-{[6-(3-carboxylateanilino)-1,3,5-triazine-2,4-diyl]diazanediyl}di(benzene-1,4-dicarboxylate",,,,,,,,barium,"['N,N-dimethylacetamide', 'solvate]']"
RETWIX,"catena-(bis(mu!4$-1,3,5-Benzenetricarboxylato)-(mu!2$-4,4'-bipyridine)-diaqua-di-zinc)","1,3,5-Benzenetricarboxylate","4,4'-bipyridine",,,,,,,titanium,[]
REVGUW,catena-(bis(mu!3$-6-((Pyridin-3-ylmethylene)amino)-2-naphthoato)-cadmium),6-((Pyridin-3-ylmethylene)amino)-2-naphthoat,,,,,,,,zinc,[]
REVROC,catena-((mu-1-((4-carboxylatophenyl)methyl)-1H-imidazole-4-carboxylato)-(mu-hydroxo)-gadolinium dimethylformamide solvate tetrahydrate),1-((4-carboxylatephenyl)methyl)-1H-imidazole-4-carboxylat,hydroxo,,,,,,,zinc,"['dimethylformamide', 'solvate', 'tetrahydrate)']"
REWLUC,catena-[(mu!6$-3-(4-phenoxyphenoxy)prop-1-yn-1-yl)-(mu!4$-trifluoroacetato)-tris(mu!3$-trifluoroacetato)-penta-silver],3-(4-phenoxyphenoxy)prop-1-yn-1-yl,trifluoroacetate,trifluoroacetate,,,,,,yttrium,[]
REWSUJ,"catena-[bis(mu!2$-4,4'-(4,4'-bipyridinium-1,1'-diyldimethanediyl)dibenzoato)-bis(mu!2$-oxalato)-diaqua-di-dysprosium(iii) bis(hydroxide) hexacosahydrate]","4,4'-(4,4'-bipyridinium-1,1'-diyldimethanediyl)dibenzoate",oxalate,,,,,,,copper,"['bis(hydroxide)', 'hexacosahydrate]']"
REWTOF,"catena-[(mu-hydroxo)-(mu-pyridine-3,5-dicarboxylato)-diaqua-praseodymium N,N-dimethylformamide solvate]",hydroxo,"pyridine-3,5-dicarboxylate",,,,,,,samarium,"['N,N-dimethylformamide', 'solvate]']"
REXYAX,"catena-[bis(mu-2-(4-carboxylatophenoxy)benzene-1,4-dicarboxylato)-tetraaqua-tri-cadmium dihydrate]","2-(4-carboxylatephenoxy)benzene-1,4-dicarboxylate",,,,,,,,copper,['dihydrate]']
REYJEM,"catena-[bis(dimethylammonium) (mu!8$-5-(3-(3,5-dicarboxylatophenoxy)-2,2-bis[(3,5-dicarboxylatophenoxy)methyl]propoxy)benzene-1,3-dicarboxylato)-di-indium dihydrate]","5-(3-(3,5-dicarboxylatephenoxy)-2,2-bis[(3,5-dicarboxylatephenoxy)methyl]propoxy)benzene-1,3-dicarboxylat",,,,,,,,manganese,['dihydrate]']
REYZED,"catena-(bis(mu-1,1'-[sulfonylbis(4,1-phenylene)]bis(2-methyl-1H-imidazole))-bis(mu-terephthalato)-di-cadmium)","1,1'-[sulfonylbis(4,1-phenylene)]bis(2-methyl-1H-imidazole)",terephthalate,,,,,,,zinc,[]
REZBEG,catena-(2-hydroxyethylammonium hexakis(mu-formato)-chromium(iii)-manganese(ii)),formate)-(ii,,,,,,,,zinc,[]
REZFAG,"catena-(bis(mu-1,1'-(1,3-phenylene)bis(1H-imidazole))-(mu-[1$1!,2$1!:2$4!,3$1!-terphenyl]-1$3!,2$2!,2$5!,3$3!-tetracarboxylato)-di-cadmium monohydrate)","1,1'-(1,3-phenylene)bis(1H-imidazole)","[1,1:4,1-terphenyl]-3,2,5,3-tetracarboxylate",,,,,,,gadolinium,['monohydrate)']
REZJIR02,catena-[bis(1H-imidazol-3-ium) hexakis(mu!2$-formato)-di-manganese(ii)],formate,,,,,,,,zinc,[]
REZJIR04,catena-[bis(1H-imidazol-3-ium) hexakis(mu-formato)-di-manganese],formate,,,,,,,,cobalt,[]
REZJIR,catena-[bis(1H-imidazol-3-ium) hexakis(mu!2$-formato)-di-manganese(ii)],formate,,,,,,,,cobalt,[]
REZVAU,"catena-(tris(mu!2$-4,4'-Bipyridyl)-bis(mu!2$-sulfato)-diaqua-di-cobalt(ii) 4,4'-bipyridyl methanol clathrate)","4,4'-Bipyridyl",sulfate,,,,,,,cadmium,"[""4,4'-bipyridyl"", 'methanol', 'clathrate)']"
REZXEA,"catena-(tris(mu!4$-Benzene-1,4-dicarboxylato)-(mu!3$-oxo)-triaqua-tri-chromium(iii) fluoride tetracosakis(methanol) clathrate)","Benzene-1,4-dicarboxylate",oxo,,,,,,,cobalt,"['fluoride', 'tetracosakis(methanol)', 'clathrate)']"
REZXIE01,catena-(tris(mu!4$-Fumarato)-(mu!3$-oxo)-triaqua-tri-iron(iii) acetate nonadecahydrate clathrate),Fumarate,oxo,,,,,,,copper,"['acetate', 'nonadecahydrate', 'clathrate)']"
RIBDAJ,"catena-[(mu!6$-benzene-1,3,5-tricarboxylato)-(mu!4$-benzene-1,3,5-tricarboxylato)-tetrapyridine-di-copper-di-nickel]","benzene-1,3,5-tricarboxylate","benzene-1,3,5-tricarboxylate",,,,,,,tin,[]
RIBTAZ,"catena-[(mu!10$-5,5'-((6-((4-Carboxyphenyl)amino)-1,3,5-triazine-2,4-diyl)diimino)diisophthalato)-bis(mu!2$-hydroxo)-(mu!2$-1-methylpyrrolidin-2-one)-aqua-nitrato-tetra-copper 1-methylpyrrolidin-2-one solvate dihydrate]","u1-5,5'-((6-((4-Carboxyphenyl)amino)-1,3,5-triazine-2,4-diyl)diimino)diisophthalat",hydroxo,1-methylpyrrolidin-2-one,,,,,,cadmium,"['1-methylpyrrolidin-2-one', 'solvate', 'dihydrate]']"
RIBZOS,"catena-((mu!4$-Fumarato-O,O,O',O'',O''')-(mu!3$-fumarato-O,O,O',O'',O''')-(mu!3$-fumarato-O,O',O'',O''')-tetra-aqua-di-holmium trihydrate)","Fumarate-O,O,O',O'',O'''","fumarate-O,O,O',O'',O'''","fumarate-O,O',O'',O'''",,,,,,chromium,['trihydrate)']
RICBEM,"catena-[(mu!8$-5',5''-Anthracene-9,10-diylbis(1,1':3',1''-terphenyl-4,4''-dicarboxylato))-di-aqua-di-copper octahydrate]","5',5''-Anthracene-9,10-diylbis(1,1':3',1''-terphenyl-4,4''-dicarboxylate)",,,,,,,,manganese,['octahydrate]']
RICDIR,"catena-(bis(mu!3$-3-Amino-1,2,4-triazolato-N,N',N'')-(mu!2$-glutarato-O,O',O'')-di-zinc)","3-Amino-1,2,4-triazolate-N,N',N''","glutarate-O,O',O''",,,,,,,europium,[]
RIDBEN02,"catena-(bis(mu!2$-Thiophene-2,5-dicarboxylato)-(mu!2$-1,1'-butane-1,4-diylbis(1H-imidazole))-diaqua-di-zinc(ii))","Thiophene-2,5-dicarboxylate","1,1'-butane-1,4-diylbis(1H-imidazole)",,,,,,,cobalt,[]
RIDDUE01,catena-(bis(mu-5-carboxylatobenzotriazolato)-bis(mu-hydroxo)-tri-cobalt hydrate),5-carboxylatebenzotriazolate,hydroxo,,,,,,,zinc,['hydrate)']
RIDDUE,catena-[bis(mu!5$-Benzotriazole-5-carboxylato)-bis(mu!2$-hydroxo)-tri-cobalt(ii) hydrate],Benzotriazole-5-carboxylate,hydroxo,,,,,,,cadmium,['hydrate]']
RIDGIW,"catena-( tetrakis(mu!3$-1,1',1''-lambda$5!-Boranetriyltris(2-methyl-1H-imidazole))-tri-zinc)","1,1',1''-lambd5-Boranetriyltris(2-methyl-1H-imidazole)",,,,,,,,zinc,[]
RIFPEB,"catena-(trans-bis(mu!2$-Azido-N,N')-(mu!2$-pyrazine-N,N'-dioxide-O,O')-manganese(ii))","Azido-N,N'","pyrazine-N,N'-dioxide-O,O'",,,,,,,manganese,[]
RIFQEC,catena(bis(mu!4$-carbonato)-(mu!4$-oxalato)-bis(mu!3$-oxalato)-(mu!2$-oxalato)-tris(mu!2$-aqua)-diaqua-tetra-cerium pentahydrate),carbonate,oxalate,oxalate,oxalate,aqua,,,,zinc,['pentahydrate)']
RIFQIG01,catena-((mu!4$-oxalato)-(mu!3$-formato)-cerium),oxalate,formate,,,,,,,cobalt,[]
RIFQUT,"catena-(bis(mu!6$-phosphato)-bis(mu!5$-monohydrogenphosphato)-bis(mu!2$-aqua)-(mu!2$-1,4-diaminocyclohexane)-bis(mu!2$-hydroxo)-hexa-cobalt hexahydrate)",phosphate,monohydrogenphosphate,aqua,"1,4-diaminocyclohexane",hydroxo,,,,samarium,['hexahydrate)']
RIFYAI,"catena-(Diammonium bis(mu!10$-1,3,5-benzenetriphosphonato)-penta-zinc trihydrate)","u1-1,3,5-benzenetriphosphonate",,,,,,,,indium,['trihydrate)']
RIGDOC,"catena-(bis(mu!7$-benzene-1,3,5-tricarboxylato)-bis(mu!2$-pyrazine)-hexa-silver dihydrate)","benzene-1,3,5-tricarboxylate",pyrazine,,,,,,,silver,['dihydrate)']
RIGHAR,"catena-[bis(mu!2$-isonicotinato-kappa$3!N:O,O')-aqua-cadmium(ii) hemikis(1,4-di-3-pyridyl-2,3-diaza-1,3-butadiene) clathrate]","isonicoate-kapp3N:O,O'",,,,,,,,uranium,"['hemikis(1,4-di-3-pyridyl-2,3-diaza-1,3-butadiene)', 'clathrate]']"
RIGPEE,"catena-((mu!3$-2,4,6-tris(pyridin-4-yl)pyridine)-copper(i) nitrate methanol solvate)","2,4,6-tris(pyridin-4-yl)pyridine",,,,,,,,copper,"['nitrate', 'methanol', 'solvate)']"
RIGTIL,"catena-[bis(Propane-1,2-diammonium) bis(mu!4$-benzene-1,2,4,5-tetracarboxylato-kappa$4!O:O':O'':O''')-di-zinc(ii) octahydrate]","benzene-1,2,4,5-tetracarboxylate-kapp4O:O':O'':O'''",,,,,,,,tungsten,['octahydrate]']
RIGVOU,"catena-(bis(mu!4$-pyrimidine-4,6-dicarboxylato)-bis(mu!3$-hydroxo)-di-europium(iii) trihydrate)","pyrimidine-4,6-dicarboxylate",hydroxo,,,,,,,zinc,['trihydrate)']
RIGYOY,catena-[bis(mu-citrato)-bis(mu-isonicotinic acid hydrazide)-germanium-di-copper(ii) unknown solvate tetrahydrate],citrate,isonicoicacid,,,,,,,lanthanum,"['hydrazide)-germanium-di-copper(ii)', 'unknown', 'solvate', 'tetrahydrate]']"
RIHFUL,"catena-(bis(mu!4$-Hydrogen 4,5-dicarboxylatoimidazolato)-dodecamethyl-tetra-tin)","Hydrogen4,5-dicarboxylateimidazolate",,,,,,,,cadmium,[]
RIHKIF,catena-[(mu-nitrilotrismethylenephosphonato)-nonakis(mu-aqua)-bis(aqua)-penta-sodium dihydrate],nitrilotrismethylenephosphonate,aqua)-bis(aqu,,,,,,,copper,['dihydrate]']
RIHRAD,"catena-((mu!2$- 1,1'-(1,4-Phenylenebis(methylene))bis(1H-benzimidazole))-(mu!2$-but-2-enedioic acid)-cobalt trihydrate)","1,1'-(1,4-Phenylenebis",but-2-enedioic,,,,,,,tin,"['acid)-cobalt', 'trihydrate)']"
RIHSEJ,"catena-(bis(mu-4,4',4''-(pyridine-2,4,6-triyl)tribenzoato)-(mu-aqua)-tri-zinc dimethylformamide unknown solvate)","4,4',4''-(pyridine-2,4,6-triyl)tribenzoate",aqua,,,,,,,silver,"['dimethylformamide', 'unknown', 'solvate)']"
RIHZUF,"catena-(bis(mu!5$-hydrogen 4,4',4'',4'''-Silanetetrayltetrabenzoato)-(mu!2$-aqua)-diaqua-di-yttrium)","hydrogen4,4',4'',4'''-Silanetetrayltetrabenzoate",aqua,,,,,,,arsenic,[]
RIJYIV,"catena-[4,4'-buta-1,3-diene-1,4-diyldipyridinium (mu-benzene-1,2,4,5-tetracarboxylato)-cadmium(ii)]","benzene-1,2,4,5-tetracarboxylate",,,,,,,,cadmium,[]
RIKFID,"catena-[(mu-5,5'-[(1,6-dioxohexane-1,6-diyl)diazanediyl]bis(benzene-1,3-dicarboxylato))-bis(mu-N$1!,N$6!-bis[(pyridin-3-yl)methyl]hexanediamide)-tetra-aqua-di-cobalt(ii) dihydrate]","5,5'-[(1,6-dioxohexane-1,6-diyl)diazanediyl]bis(benzene-1,3-dicarboxylate)","1,6-bis[(pyridin-3-yl)methyl]hexanediamide",,,,,,,erbium,['dihydrate]']
RILGAX,"catena-[tetrakis(mu-1,6-bis(1,2,4-triazol-1-yl)hexane)-tris(mu-hydroxo)-tritriacontakis(mu-oxo)-octaoxo-penta-copper-dodeca-tungsten]","1,6-bis(1,2,4-triazol-1-yl)hexane",hydroxo,oxo,,,,,,cadmium,[]
RILJOO,catena-[bis(mu-5-[(1-oxopyridine-4-carbonyl)amino]isophthalato)-aqua-di-calcium unknown solvate monohydrate],5-[(1-oxopyridine-4-carbonyl)amino]isophthalate,,,,,,,,silver,"['unknown', 'solvate', 'monohydrate]']"
RILVAL,catena-[bis(mu!2$-5-iodoisophthalato)-methanol-di-lead(ii)],5-iodoisophthalate,,,,,,,,silver,[]
RILVOZ,catena-[(dimethylformamide)(mu!4$-5-methoxyisophthalato)manganese(ii)],5-methoxyisophthalate)(ii)],,,,,,,,cadmium,[]
RIMROX,"catena-[(mu-4,4''-dicarboxy-1,1':3',1''-terphenyl-4',6'-dicarboxylato)-aqua-(N,N-dimethylformamide)-barium]","4,4''-dicarboxy-1,1':3',1''-terphenyl-4',6'-dicarboxylate)-aqua-(N,N-dimethylformamid",,,,,,,,zinc,[]
RINFEB,catena-[diaqua(mu!4$-Oxydiacetato)-(mu!4$-sulfato)-(mu!3$-sulfato)-diaqua-di-praseodymium(iii) hemihydrate],Oxydiacetate,sulfate,sulfate,,,,,,cobalt,['hemihydrate]']
RINMUZ,"catena-((mu-sulfato)-(mu-4,4'-(1,3,4-thiadiazole-2,5-diyl)dipyridine)-aqua-copper(ii) monohydrate)",sulfate,"4,4'-(1,3,4-thiadiazole-2,5-diyl)dipyridine",,,,,,,copper,['monohydrate)']
RINPEJ,"catena-[Diammonium bis(dimethylammonium) tetrakis(3,3'-azodibenzoato)-di-cadmium(ii)]",,,,,,,,,cadmium,"[""tetrakis(3,3'-azodibenzoato)-di-cadmium(ii)]""]"
RINTOA,"catena-[oxonium tetrakis(mu-1,3-cyclohexane-dicarboxylato)-(mu-oxalato)-(mu-heptanitrogen)-bis(mu-oxido)-octa-lead]","1,3-cyclohexane-dicarboxylate",oxalate,heptanitrogen,oxido,,,,,sodium,[]
RINTUF,"catena-(bis(1-ethyl-3-methylimidazolium) decakis(mu-benzene-1,4-dicarboxylato)-hexa-dysprosium)","benzene-1,4-dicarboxylate",,,,,,,,copper,[]
RIPDEB,"catena-[bis(mu!5$-4,4'-oxydibenzoato)-bis(mu!4$-4,4'-oxydibenzoato)-bis(mu!4$-oxo)-bis(mu!3$-4-(3,5-diethylpyrazol-4-yl)pyridine)-hepta-zinc N,N-dimethylformamide solvate dihydrate]","4,4'-oxydibenzoate","4,4'-oxydibenzoate",oxo,"4-(3,5-diethylpyrazol-4-yl)pyridine",,,,,zinc,"['N,N-dimethylformamide', 'solvate', 'dihydrate]']"
RIPFUS,"catena-((mu!5$-2,2',2''-(1,3,5-triazine-2,4,6-triyltris(thio))tris(acetato))-diaqua-cerium(iii) dihydrate)","2,2',2''-(1,3,5-triazine-2,4,6-triyltris(thio))tris(acetate)",,,,,,,,vanadium,['dihydrate)']
RIPKIM,"catena-[bis(mu!4$-pentanedioate)-(mu!2$-4,4'-(hydrazine-1,2-diylidenedieth-1-yl-1-ylidene)dipyridine)-di-copper dihydrate]",pentanedioate,"4,4'-(hydrazine-1,2-diylidenedieth-1-yl-1-ylidene)dipyridine",,,,,,,cadmium,['dihydrate]']
RIPNIP,"catena-[bis(mu!4$-2,3,5,6-Tetrafluoroterephthalato-O,O,O',O'',O''')-bis(mu!4$-2,3,5,6-tetrafluoroterephthalato-O,O',O'',O''')-tetrakis(tetrahydrofuran)-tetra-zinc(ii)]","2,3,5,6-Tetrafluoroterephthalate-O,O,O',O'',O'''","2,3,5,6-tetrafluoroterephthalate-O,O',O'',O''')-tetrakis(tetrahydrofura",,,,,,,zinc,[]
RIPNOV,catena-[bis(mu!2$-tetradeuteriumbenzimidazolyl)-zinc(ii)],tetradeuteriumbenzimidazolyl,,,,,,,,zinc,[]
RIPQIT,"catena-[(mu-4,4',4'',4'''-silanetetrayltetrabenzoato)-(mu-4,4'-bipyridine)-di-cobalt(ii) N,N-dimethylformamide solvate monohydrate]","4,4',4'',4'''-silanetetrayltetrabenzoate","4,4'-bipyridine",,,,,,,nickel,"['N,N-dimethylformamide', 'solvate', 'monohydrate]']"
RIPRIT,"catena-[tris(Dimethylammonium) tris(mu!3$-4,5-dicarboxylato-1,2,3-triazolato)-tris(mu!2$-formato)-tri-cobalt-europium dimethylformamide solvate dihydrate]","4,5-dicarboxylate-1,2,3-triazolate",formate,,,,,,,molybdenum,"['dimethylformamide', 'solvate', 'dihydrate]']"
RIPTAM,"catena-(bis(mu!3$-Pyridine-2,6-dicarboxylato)-tetrakis(mu!2$-pyridine-2,6-dicarboxylato)-dodecaaqua-tri-calcium(ii)-di-terbium(iii) dodecahydrate)","Pyridine-2,6-dicarboxylate","pyridine-2,6-dicarboxylate)-dodecaaqua-tri-(i",,,,,,,silver,['dodecahydrate)']
RIQCOM,"catena-[(mu-hydrogen 3,3',3''-(1,3,5-triazine-2,4,6-triyltriazanediyl)tris(5-methylbenzoato))-cadmium(ii) N,N-dimethylformamide unknown solvate]","hydrogen3,3',3''-(1,3,5-triazine-2,4,6-triyltriazanediyl)tris(5-methylbenzoate)",,,,,,,,cobalt,"['N,N-dimethylformamide', 'unknown', 'solvate]']"
RIQCUS,"catena-[tris(mu-benzene-1,4-dicarboxylato)-bis(mu-pyridine-4-carboxylato)-bis(N,N-dimethylformamide)-tetra-zinc(ii) N,N-dimethylformamide solvate]","benzene-1,4-dicarboxylate","pyridine-4-carboxylate)-bis(N,N-dimethylformamid",,,,,,,cobalt,"['N,N-dimethylformamide', 'solvate]']"
RIQDIH,"catena-[tris(mu-2,2'-(1,3-phenylene)diacetato)-aqua-di-gadolinium(iii) monohydrate]","2,2'-(1,3-phenylene)diacetate",,,,,,,,cadmium,['monohydrate]']
RIQVOD,"catena-((mu!6$-4-Carboxy-3,3',4'-biphenyltetracarboxylato)-aqua-europium(iii))","4-Carboxy-3,3',4'-biphenyltetracarboxylate",,,,,,,,copper,[]
RIRCON,"catena-(bis(mu-pyridine-2,4-dicarboxylato)-hexa-aqua-strontium-zinc dihydrate)","pyridine-2,4-dicarboxylate",,,,,,,,dysprosium,['dihydrate)']
RIRDEE,"catena-((mu-hydrogen 4,4'-[(5-carboxy-1,3-phenylene)bis(oxy)]bis(benzene-1,2-dicarboxylato))-bis(2,2'-bipyridine)-di-zinc(ii))","hydrogen4,4'-[(5-carboxy-1,3-phenylene)bis(oxy)]bis(benzene-1,2-dicarboxylate))-bis(2,2'-bipyridin",,,,,,,,bismuth,[]
RIRRIU,"catena-[decakis(mu!2$-Oxo)-tris(mu!2$-4,4'-bipyridine)-tetra-oxo-di-cobalt-tetra-molybdenum(vi)]",Oxo,"4,4'-bipyridine",,,,,,,manganese,[]
RISGIM,"catena-[(mu-4-carboxybenzene-1,2-dicarboxylato)-aqua-strontium]","4-carboxybenzene-1,2-dicarboxylate",,,,,,,,lithium,[]
RISVUL,"catena-((mu!5$-2,4-dinitrophenolato)-(mu!3$-aqua)-rubidium(i))","2,4-dinitrophenolate",aqua,,,,,,,magnesium,[]
RISXAT,"catena-((mu!6$-succinato)-bis(mu!4$-benzene-1,4-dicarboxylato)-di-holmium(iii))",succinate,"benzene-1,4-dicarboxylate",,,,,,,sodium,[]
RISXAU,"catena-[tris(mu!4$-cyclobutane-1,2,3,4-tetrone)-hexakis(hydroxy)-tri-iron]","cyclobutane-1,2,3,4-tetrone)-hexakis(hydrox",,,,,,,,silver,[]
RITDAB,catena-[tetrakis(mu!2$-Isonicotinato)-copper-indium],Isonicoate,,,,,,,,copper,[]
RITDOQ,"catena-[(mu-2,3,5,6-tetrafluorobenzene-1,4-dicarboxylato)-cobalt(ii)]","2,3,5,6-tetrafluorobenzene-1,4-dicarboxylate",,,,,,,,zinc,[]
RIVDEF,catena-((mu!3$-Tricyanomethanide)-(mu!2$-tetramethoxyborane)-cadmium methanol solvate),Tricyanomethanide,tetramethoxyborane,,,,,,,zinc,"['methanol', 'solvate)']"
RIVRIA,"catena-[tris(mu-2,5-bis(phenylamino)benzene-1,4-dicarboxylato)-bis(mu-oxo)-tetrakis(N,N-dimethylformamide)-tetra-zinc(ii) N,N-dimethylformamide unknown solvate]","2,5-bis(phenylamino)benzene-1,4-dicarboxylate","oxo)-tetrakis(N,N-dimethylformamid",,,,,,,uranium,"['N,N-dimethylformamide', 'unknown', 'solvate]']"
RIVTOI,catena-[bis(mu-2-bromopyrazine)-tetrakis(mu-cyano)-di-copper(i)-iron(ii)],2-bromopyrazine,cyano)-di-(,,,,,,,manganese,[]
RIWFOU,catena-[bis(mu!4$-oxalato)-(1-(pyridin-2-yl)methanamine)-chromium-potassium],oxalate)-(1-(pyridin-2-yl)methanamin,,,,,,,,copper,[]
RIWMUH,"catena-((mu!4$-2,2'-Dimethoxybiphenyl-4,4'-dicarboxylato)-aqua-copper)","2,2'-Dimethoxybiphenyl-4,4'-dicarboxylate",,,,,,,,manganese,[]
RIWWOK,"catena-((mu!4$-4,4'-(Ethene-1,2-diyl)-dibenzoato-O,O',O'',O''')-aqua-zinc(ii))","4,4'-(Ethene-1,2-diyl)-dibenzoate-O,O',O'',O''",,,,,,,,lanthanum,[]
RIWXAX01,"catena-[(mu!4$-4,4'-Stilbenedicarboxylato)-aqua-cadmium(ii)]","4,4'-Stilbenedicarboxylate",,,,,,,,iron,[]
RIWXUS,"catena-((mu!4$-2,2'-Bipyridine-5,5'-dicarboxylato)-tricarbonyl-chloro-dimethylformamide-copper-rhenium dimethylformamide solvate)","2,2'-Bipyridine-5,5'-dicarboxylate",,,,,,,,nickel,"['dimethylformamide', 'solvate)']"
RIWYAA,catena-(bis(mu-D-camphorato)-bis(mu-bis(4-(4-pyridyl)phenyl) ether)-di-zinc(ii)),D-camphorate,bis(4-(4-pyridyl)phenyl),,,,,,,dysprosium,['ether)-di-zinc(ii))']
RIXPIZ,"catena-(bis(mu!6$-1,3,5-tris(4-Carboxylatophenyl)benzene)-bis(mu!2$-formato-O,O')-tetrakis(mu!2$-oxo)-tetra-aluminium acetone solvate)","1,3,5-tris(4-Carboxylatephenyl)benzene","formate-O,O'",oxo,,,,,,dysprosium,"['acetone', 'solvate)']"
RIXXAA,"catena-(bis(mu-1,1',1'',1'''-[benzene-1,2,4,5-tetrayltetrakis(methylene)]tetrakis(1H-imidazole))-di-zinc(ii) bis(tris(mu-oxalato)-di-zinc(ii)) octahydrate)","1,1',1'',1'''-[benzene-1,2,4,5-tetrayltetrakis",,,,,,,,copper,"['bis(tris(mu-oxalato)-di-zinc(ii))', 'octahydrate)']"
RIXZOQ,"catena-[tetrakis(mu-imidazolyl)-di-cobalt tris(mu-imidazolyl)-(mu-benzimidazolyl-2-amine)-di-cobalt N,N-dimethylformamide solvate]",imidazolyl,imidazolyl,benzimidazolyl-2-amine,,,,,,nickel,"['N,N-dimethylformamide', 'solvate]']"
RIYBAE,"catena-[bis(mu-2,4,6-tri(pyridin-4-yl)-1,3,5-triazine)-hexaiodo-tri-zinc (dibenzo[f,h]quinolin-12-yl)-(O-methyl carbonodithioato)-palladium acetonitrile solvate]","2,4,6-tri(pyridin-4-yl)-1,3,5-triazine)-hexaiodo-tri-(dibenzo[f,h]quinolin-12-",,,,,,,,palladium,"['carbonodithioato)-palladium', 'acetonitrile', 'solvate]']"
RIYWED,catena-[bis(mu!4$-5-phosphonoisophthalic acid)-(mu!2$-hydrogen 5-phosphonoisophthalate)-diaqua-di-calcium pentahydrate],5-phosphonoisophthalicacid,hydrogen,,,,,,,zinc,"['5-phosphonoisophthalate)-diaqua-di-calcium', 'pentahydrate]']"
RIZNIY,"catena-[(mu!4$-Muconato-O,O',O'',O''')-(mu!4$-muconato-O,O,O',O')-diaqua-tris(1,10-phenanthroline)-tri-copper(ii) diperchlorate pentahydrate]","Muconate-O,O',O'',O'''","muconate-O,O,O',O')-diaqua-tris(1,10-phenanthrolin",,,,,,,cerium,"['diperchlorate', 'pentahydrate]']"
ROBSAD,"catena-(bis(mu!3$-Hydrogen phosphito-O,O',O'')-(mu!2$-1,4-bis(3-aminopropyl)piperazine-N,N')-di-zinc)","Hydrogenphosphito-O,O',O''","1,4-bis(3-aminopropyl)piperazine-N,N'",,,,,,,cadmium,[]
ROCBAP,"catena-[(mu-aqua)-tris(mu-naphthalene-2,6-dicarboxylato)-diaqua-di-europium unknown solvate]",aqua,"naphthalene-2,6-dicarboxylate",,,,,,,cadmium,"['unknown', 'solvate]']"
ROCZAM,catena-[tetrakis(mu!3$-isonicotinato)-bis(mu!2$-azide)-bis(dimethylacetamide)-tri-cadmium dimethylacetamide solvate],isonicoate,azide)-bis(dimethylacetamid,,,,,,,zinc,"['dimethylacetamide', 'solvate]']"
